+----------------+--------------------------------------------------------------------------+------------------------------------------------+
| U+0478->U+0479 | CYRILLIC CAPITAL LETTER UK                                               | CYRILLIC SMALL LETTER UK                       |
| U+047A->U+047B | CYRILLIC CAPITAL LETTER ROUND OMEGA                                      | CYRILLIC SMALL LETTER ROUND OMEGA              |
| U+047C->U+047D | CYRILLIC CAPITAL LETTER OMEGA WITH TITLO                                 | CYRILLIC SMALL LETTER OMEGA WITH TITLO         |
| U+047E->U+047F | CYRILLIC CAPITAL LETTER OT                                               | CYRILLIC SMALL LETTER OT                       |
| U+0480->U+0481 | CYRILLIC CAPITAL LETTER KOPPA                                            | CYRILLIC SMALL LETTER KOPPA                    |
| U+048A->U+0438 | CYRILLIC CAPITAL LETTER SHORT I WITH TAIL                                | CYRILLIC SMALL LETTER I                        |
| U+048B->U+0438 | CYRILLIC SMALL LETTER SHORT I WITH TAIL                                  | CYRILLIC SMALL LETTER I                        |
| U+048C->U+044C | CYRILLIC CAPITAL LETTER SEMISOFT SIGN                                    | CYRILLIC SMALL LETTER SOFT SIGN                |
| U+048D->U+044C | CYRILLIC SMALL LETTER SEMISOFT SIGN                                      | CYRILLIC SMALL LETTER SOFT SIGN                |
| U+048E->U+0440 | CYRILLIC CAPITAL LETTER ER WITH TICK                                     | CYRILLIC SMALL LETTER ER                       |
| U+048F->U+0440 | CYRILLIC SMALL LETTER ER WITH TICK                                       | CYRILLIC SMALL LETTER ER                       |
| U+0490->U+0433 | CYRILLIC CAPITAL LETTER GHE WITH UPTURN                                  | CYRILLIC SMALL LETTER GHE                      |
| U+0491->U+0433 | CYRILLIC SMALL LETTER GHE WITH UPTURN                                    | CYRILLIC SMALL LETTER GHE                      |
| U+0490->U+0433 | CYRILLIC CAPITAL LETTER GHE WITH UPTURN                                  | CYRILLIC SMALL LETTER GHE                      |
| U+0491->U+0433 | CYRILLIC SMALL LETTER GHE WITH UPTURN                                    | CYRILLIC SMALL LETTER GHE                      |
| U+0492->U+0433 | CYRILLIC CAPITAL LETTER GHE WITH STROKE                                  | CYRILLIC SMALL LETTER GHE                      |
| U+0493->U+0433 | CYRILLIC SMALL LETTER GHE WITH STROKE                                    | CYRILLIC SMALL LETTER GHE                      |
| U+0494->U+0433 | CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK                             | CYRILLIC SMALL LETTER GHE                      |
